tanggal,lotno2,prod_order2,value,temp_mini_tank,temp_nozzle,temp_nozzle_filler,reject
2024-01-02 01:00:00,01.01.24 K2,2147483647,115,-180,24,-172,0
2024-01-02 02:00:00,01.01.24 K2,2147483647,116,-180,24,-183,0
2024-01-02 03:00:00,01.01.24 K2,2147483647,112,-179,24,-171,0
2024-01-02 04:00:00,01.01.24 K2,2147483647,111,-179,24,-186,0
2024-01-02 06:00:00,01.01.24 K2,2147483647,114,-175,24,-159,0
2024-01-02 07:00:00,01.01.24 K2,2147483647,108,-176,24,-176,0
2024-01-02 08:00:00,01.01.24 K2,2147483647,114,-176,24,-175,0
2024-01-02 11:00:00,01.01.24 K2,2147483647,113,-176,24,-167,0
2024-01-02 00:00:00,01.01.24 K2,2147483647,114,-180,24,-177,0
